ENTREPRISE;PROJET;THEMATIQUE;PAGE;VAGUE;LOCALISATION;MONTANT_PROJET;MONTANT_AIDE;REALISATION;ACTIVITE_ENTREPRISE;OBJECTIF_PROJET
echopen factory;echopen remote;santé;70;10;75;4 233 456€;1 905 052€;2022 - 2025;"echOpen développe une sonde d’imagerie échographique ultra-portable et abordable, connectée à un 
smartphone ou tablette et dédiée à l’orientation diagnostique. Annoncé comme le « stéthoscope » du 
XXI° siècle. Cet outil incontournable dans la prise en charge des patients, sera augmenté de services 
numériques et d’intelligence artificielle.
";"Avec echOpen remOte, echOpen factory augmente sa gamme de services aux professionnels de santé 
autour de sa sonde echOpen O1 (première sonde d’imagerie par ultrasons tri fréquences, ultra-portable, 
ultra-abordable, sans fil et connectée à n’importe quelle smartphone ou tablette) qui offre des services 
d'assistance à l’opérateur et de partage sécurisé entre professionnels de cas cliniques grâce à sa 
plateforme. L’entreprise poursuit sa mission de rendre l’imagerie médicale accessible, notamment aux 
paramédicaux, premier tissu médical territorial pour améliorer la santé des populations. Cette solution 
sera déployée en France puis rapidement à l’échelle européenne et internationale. 
"
ganymed robotics;ganyplan;santé;71;10;75;4 955 765€;2 230 094€;2023 - 2024;"Spécialisé dans le développement d’outils de vision par ordinateur et de mécatronique avancée, 
GANYMED ROBOTICS développe un robot d’assistance chirurgicale en orthopédie disruptif. La première 
indication visée est la pose de prothèses totales de genou, une intervention en forte augmentation, 
soumise à de fortes pressions de fiabilisation et de maîtrise des coûts.
";"Les travaux menés dans le cadre du projet GANYPLAN ajouteront au robot GANYMED la capacité 
de proposer une planification chirurgicale personnalisée, adaptée à l’anatomie du patient, intégrant 
une reconstruction préopératoire 3D de l’anatomie du genou ainsi qu’une mesure per-opératoire de 
nouveau genre. Les travaux couvriront le développement de ces nouvelles fonctions jusqu’à l’évaluation 
en conditions pré-cliniques.
"
keymaging;keymaging v3;santé;73;10;67;2 745 266€;1 235 368€;2023 - 2024;"Keymaging conçoit, développe et commercialise la solution Keydiag d’aide au raisonnement diagnostic 
et d’automatisation de l’édition de compte rendu diagnostique.
";"Le projet Keydiag V3 prévoit le développement informatique de la plateforme pour étendre ses 
fonctionnalités, le développement des fonctionnalités d’intégration informatique, ainsi que le 
développement de contenus de connaissance médicale permettant de réaliser l’ensemble des 
diagnostiques du quotidien.
"
lucine;lucine endocare;santé;74;10;33;3 234 468€;1 455 508€;2023- 2025;"La société Lucine developpe depuis 10 ans des thérapies numériques spécialisées dans les douleurs 
chroniques. Lucine a fait le choix de créer sa premiére solution brevetée pour soulager efficacement et 
durablement les douleurs pelvi-périnéales liées à l'endométriose ou aux règles.
";"L’objectif premier est d’améliorer le produit par l’implémentation d’un module d’identification des types 
de profils biologiques de la douleur chronique. Notamment dans l'utilisation d'un questionnaire de pré-
orientation capable d'identifier les mécanismes endogènes de la douleur impliqués et un algorithme 
de reconnaissance faciale permettant le diagnostic de ces marqueurs. L’objectif second est de garantir 
l'industrialisation du produit Endocare en proposant une diversification de type de hardware allant de 
la réalité virtuelle en passant par une application mobile. Cela permettra une prise en charge adaptée à 
domicile avec une efficacité clinique identique.
"
med’inn’pharma - mip;medincellfactory;santé;75;10;25;3 511 305€;1 580 084 €;2023 - 2025;"MIP est spécialisée dans la pharmacologie résolutive et développe une gamme de candidats médicaments. 
Grace à sa plateforme technologique propriétaire unique, MIP produit des candidats médicaments 
100% humains et biologiques, fabriqués par des cellules humaines, composés d’un ensemble parfait de 
molécules dédiées au traitement de maladies chroniques et dégénératives. 
";"L’objectif du projet est de réinventer la thérapie cellulaire pour soigner les maladies dégénératives en 
utilisant la puissance des cellules humaines comme véritables usines pour la fabrication des thérapies de 
nouvelle génération. Dans ce cadre MIP souhaite produire le premier lot clinique du candidat médicament 
Résolvix® pour son évaluation clinique dans la maladie rare et orpheline, la sclérodermie systémique. 
Il s’agira donc de produire et libérer un lot clinique, confirmer sa stabilité et mieux le caractériser, puis 
déterminer son innocuité et son efficacité préliminaire chez l’homme, plus particulièrement chez les 
patients atteints de sclérodermie systémique, une maladie rare et orpheline.  
"
my family up;metapsy2025;santé;76;10;31;1 752 552€;788 648€;2022 - 2025;"My Family Up se positionne aujourd’hui comme une référence en dématérialisation de la psychologie 
et des solutions d’accompagnement psycho-éducatives personnalisées, expertes et innovantes. Elle 
se place sur le marché de l’expertise psychologique numérique et sur le marché des simulateurs de 
comportement.
";"Le projet METAPSY a pour ambition de créer une solution innovante de détection précoce d’un état 
émotionnel à risque chez les personnes âgées. La solution devra tout en portant assistance à leurs 
problématiques du quotidien leur procurer un soutien psychologique via une thérapie numérique. Il 
s’inscrit pleinement dans le cadre du « bien vieillir » et des solutions de prévention en apportant des 
solutions concrètes, personnalisées et adaptées notamment à la situation du couple aidant/aidé.
"
newclip technics;tectonics;santé;82;10;44;1 475 254€;516 336€;2022 - 2025;"Fondée en 2002, NEWCLIP TECHNICS, est un groupe industriel français du MedTech qui fabrique 
des dispositifs médicaux innovants (implants d'ostéosynthèse pour la chirurgie orthopédique et 
traumatologique). Les produits et services sont commercialisés dans 45 pays, grâce au réseau de 
distributeurs partenaires et filiales internationales en Europe, USA, Australie et Japon.
";"Cette technologie disruptive permettra de préserver l’articulation et de retarder la pose d’une prothèse 
totale de genou-PTG (5-10 ans), et par conséquent d’éviter les complications et l’inconfort résultant de 
la pose itérative de PTG. En effet, les PTG ont une durée de vie limitée et le bénéfice médical diminue 
substantiellement au fur et à mesure des reprises chirurgicales. 
La finalité est de mettre à disposition du praticien un implant sous-cutané (et des instruments associés) 
répondant mieux aux besoins du patient que les dispositifs disponibles sur le marché.
Ce projet à fort impact sociétal (650 millions de patients dans le monde) permettra de booster la 
croissance de la société Newclip Technics (~100 M€ de chiffre d’affaires à l’horizon 2030), de conforter 
son leadership européen et de créer plus de 21 emplois directs en région des Pays de la Loire en 2030.
"
poxel;start;santé;81;10;69;3 275 340€;1 473 900€;2023 - 2024;"Poxel est une société biopharmaceutique au stade clinique qui développe des traitements innovants 
pour les maladies chroniques graves d’origine métabolique, notamment la stéatohépatite non alcoolique 
(NASH) et les maladies rares (ALD).
";"Sur la base de toutes les données précliniques et cliniques disponibles, Poxel prévoit de lancer deux 
études de preuve de concept parallèles et identiques de phase IIa, avec le PXL065 et le PXL770, chez 
des patients adultes de sexe masculin atteints d'adrénomyéloneuropathie (AMN), la forme la plus 
courante d'adrénoleucodystrophie (ALD). Ces études évalueront après 12 semaines de traitement la 
pharmacocinétique, la sécurité et l'efficacité, par des biomarqueurs clés de la maladie, tels que l'effet 
sur les acides gras à très longue chaîne (VLCFA), le marqueur plasmatique caractéristique de la maladie, 
afin de choisir une des 2 molécules pour le programme pivotal. 
"
rds sas;multisense ii;santé;77;10;67;3 400 920€;1 270 196€;2023 - 2026;"RDS est une startup basée à Strasbourg qui propose aux hôpitaux la solution MultiSense® pour une 
télésurveillance continue et précise destinée à permettre un suivi physiologique du patient jusqu’à son 
domicile.
Il s'agit d'un dispositif médical miniaturisé et connecté, fabriqué en France, qui permet une télésurveillance 
de très haute qualité (en continu et pendant plusieurs jours) des paramètres cardiaques et respiratoires 
clés : rythme cardiaque, ECG, saturation d'oxygène, événements de pression artérielle, fréquence 
respiratoire, température cutanée, activité et posture.
Cette solution permet aux équipes cliniques de laisser les patients rentrer chez eux plus tôt, en toute 
sécurité, et de les surveiller à distance comme s'ils étaient encore à l'hôpital, en particulier lors d’un suivi 
post-chirurgical.
";"L’objectif de notre projet est d’optimiser la conception industrielle de MultiSense® afin de permettre 
une meilleure gestion des parcours de soins au bénéfice des patients et des personnels de santé, tout 
en accroissant la réutilisabilité de la solution et en optimisant son empreinte environnementale, tant au 
niveau matériel que logiciel. 
"
rebrain;ciblage et registre;santé;69;10;33;1 453 948€;672 276€;2023 - 2025;"RebrAIn est une startup (lauréate du concours i-Lab en 2021) qui développe des outils d’IA permettant 
d’identifier les zones cérébrales pour traiter chirurgicalement les patients présentant un tremblement 
essentiel sévère ou une maladie de Parkinson évoluée.
";"L’objectif de ce projet est d’augmenter le caractère personnalisé de la prise en charge des patients 
présentant une maladie de Parkinson ou un tremblement essentiel en modulant la prédiction de la 
localisation des zones cérébrales à traiter chirurgicalement en fonction des symptômes du patient, 
en guidant les premiers réglages des stimulateurs et en créant un registre permettant d’améliorer ces 
apprentissages en continu.
"
sas open stent solution;nesto;santé;78;10;80;3 554 476€;1 599 514€;2023 - 2024;"Open Stent Solution développe des solutions de remplacement valvulaires cardiaques peu invasives 
basées sur un concept révolutionnaire qui est le Ruban Valvé. 
";"Open Stent Solution  développe une solution thérapeutique universelle de remplacement valvulaire 
mitral percutané. Cette solution a pour objectif de faire face à l’attente de 2.5 millions de patients, rien 
qu’en Europe et aux Etats-Unis, qui sont atteints d’insuffisance mitrale et qui voient leur pronostic vital 
mis en jeu car non-éligibles aux thérapies actuelles. 
Le projet NESTO porte sur le développement du dispositif BioDreidel M®, le premier ruban valvé au 
monde. Ce projet a pour but d’aboutir à un dispositif fini et à la démonstration de ses performances par 
l’intermédiaire des implantations sur un modèle animal, avant de le soumettre aux tests réglementaires 
en vue d’obtenir les autorisations des essais cliniques. 
"
sensome;spell;santé;80;10;91;3 512 413€;1 580 584€;2023 - 2026;"Sensome, startup deeptech fondée en 2014 (CNRS/École polytechnique), développe des capteurs 
d'impédance couplés à des algorithmes d’apprentissage machine pour identifier la nature biologique 
des tissus en temps réel. Le premier dispositif médical est un guide neurovasculaire connecté qui aidera 
les médecins lors du traitement d’un accident vasculaire cérébral (AVC) ischémique. 
";"Le projet SPELL vise à développer un nouvel outil diagnostic mini invasif pour la détection précoce de 
cancers du poumon, intégrant une nouvelle génération de micro-capteurs d’impédance. L’utilisation de 
la sonde de Sensome vise à réduire le nombre de biopsies que chaque patient doit subir avant d'avoir 
un diagnostic fiable, et donc réduire le délai d’obtention du diagnostic, avec la possibilité d’identifier le 
traitement adéquat au plus tôt pour maximiser les chances de survie du patient.
"
swallis medical;handy-swallow iii;santé;72;10;31;1 690 500€;760 725€;2022 - 2025;"Swallis Médical est une start-up spécialisée dans les dispositifs médicaux connectés de diagnostic 
et de prise en charge de la dysphagie (troubles de la déglutition). Son premier produit, le Swallis 
DSATM (Device for Swallowing Analysis) est un collier qui détecte et mesure les signaux de l’activité 
pharyngolaryngée (de la gorge). 
";"Le projet Handy-Swallow II a pour but de transformer le dispositif Swallis DSATM existant en une version 
sans fil, plus adaptée aux sujets polyhandicapés. Cette version sera capable d’intégrer des données 
complémentaires issues d’algorithmes et d’un parcours de tests cliniques pour affiner le diagnostic de 
la dysphagie. L’ensemble des données récoltées seront alors stockées sur une plateforme collaborative 
où des professionnels habilités pourront interpréter à distance et en différé les bilans de déglutition. 
Un essai clinique évaluera ensuite le bénéfice apporté aux résidents en Maisons d’Accueil Spécialisées/
Foyers d’Accueil Médicalisés d’une évaluation de la déglutition par la nouvelle version du dispositif.  
"
therapanacea;prophesia;santé;79;10;75;4 855 096€;2 184 792€;2023 - 2025;"TheraPanacea est une entreprise française HealthTech, spinoff de CentraleSupelec, qui utilise 
l’intelligence artificielle pour transformer la pratique de la médecine en développant des logiciels 
permettant d’optimiser les diagnostics, de pronostiquer les réactions aux traitements, et d’améliorer les 
thérapies contre le cancer (notamment via radiothérapie) ou certaines maladies neurologiques.
";"L’ensemble des acteurs de l’industrie de la santé et plus particulièrement de l’oncologie se dirigent vers 
la « médecine de précision » : une médecine dans laquelle les parcours de soins sont différenciés pour 
chaque patient. L’approche holistique permise par l’intelligence artificielle ouvre la voie à une médecine 
réellement personnalisée. 
L’objectif du projet ProphesIA est de concevoir et de développer une plateforme pour l’analyse 
transverse de données médicales multimodales et la production de dispositif médicaux certifiés de suivi 
des patients. 
"
wainvam-e;welfa-denv;santé;83;10;56;1 168 795€;525 956€;2023-2025;"WAINVAM-E est aujourd’hui la plus grande start-up au monde développant et commercialisant des 
solutions basées sur l’exploitation des propriétés quantiques de diamants à centres NV, pour différentes 
applications commerciales (industrie, recherche, cosmétique, agroalimentaire…). Son objectif long 
terme est de développer de nouvelles solutions biomédicales.  
";"WAINVAM-E développe une nouvelle technologie de Lateral Flow Assays (LFA) qui combine les 
avantages des LFA classiques à la précision et la sensibilité des nanodiamants fluroescents. 
L’objectif du projet est de développer une première solution clé-en-main à partir de cette technologie, 
qui sera dédiée au diagnostic rapide de la Dengue, maladie en plein recrudescence qui génère plus de 
400 millions infections par an. 
Le projet permettra de développer et valider le premier dispositif LFA à base de nanodiamants à centre 
NV, ainsi que de préparer son industrialisation et sa mise sur le marché. 
"
athena recherche et innovation;i-hnov;énergies, ressources et milieux naturels;23;11;49 | PAYS DE LA LOIRE;2 574 462€;1 127 161€;2023 – 2026;"ATHENA R&D&I a développé 
un procédé qui produit de 
l’hydrogène par fermentation 
bactérienne à partir d’effluents 
organiques, 
générant 
une 
énergie décarbonée, locale et 
renouvelable. ATHENA RECHERCHE ET INNOVATION 
développe un procédé de production d’hydrogène 
par voie biologique à partir des eaux usées et des 
déchets organiques des industries agroalimentaires. 
L’objectif est de créer des écosystèmes hydrogène 
au plus près des industriels en vue de décarboner 
leurs activités et de baisser leurs consommations 
d’énergies.";"Partie d’une feuille blanche il y a 7 ans, l’équipe 
a démontré la performance et la viabilité du 
procédé de fermentation à l’échelle du laboratoire 
(de 250mL à 250L). Dans le cadre de ce projet, en 
collaboration avec un industriel de premier plan, 
l’entreprise va :
- réaliser le changement d’échelle du procédé en 
vue de son industrialisation rapide ;
- sélectionner les briques technologiques qui 
complètent le procédé HNV ;
- valider le modèle économique."
azuvia;seteia;énergies, ressources et milieux naturels;25;11;84 | PROVENCE ALPES CÔTE D’AZUR;1 046 556€;432 700€;2023 - 2025;"AZUVIA 
vise 
à 
accélérer 
l’industrialisation et la mise sur 
le marché de ses systèmes de 
traitement des effluents liquides 
fortement chargés en pollution 
organiques et azotées.
AZUVIA 
est 
une 
start-up 
technologique innovante qui développe des 
systèmes écologiques de traitement des effluents 
liquides. Ses technologies sont conçues pour 
répondre aux besoins en traitement des rejets issus 
des exploitations vinicoles, des plateformes de 
compostage et des industries agro-alimentaires. 
Ces innovations reposent sur la phyto-épuration, 
l’hydroponie et l’environnement contrôlé.";"A travers ce projet, AZUVIA cherche à co-financer 
une solution qui tend vers une technologie 
mature, industrialisable et pleinement adaptée 
à la réutilisation de l’eau. Le projet SETEIA vise à 
améliorer l’efficacité globale de la solution de 
traitement, que ce soit en termes d’élimination 
des contaminants, de consommation d’énergie, de 
coûts opérationnels ou d’autres facteurs pertinents. 
C’est à travers cette ligne directrice qu’AZUVIA a 
construit son projet sur le développement de deux 
procédés distincts."
corsica sole;alchymiste;énergies, ressources et milieux naturels;20;11;20 | CORSE;4 887 924€;1 710 773€;2023 - 2027;"CORSICA 
SOLE 
est 
un 
producteur 
indépendant 
d’énergie 
solaire 
et 
leader 
du 
stockage 
d’énergie 
en 
Europe. En pleine croissance, 
l’entreprise compte aujourd’hui plus de 100 MWc de 
centrales photovoltaïques et plus de 150 MWh de 
centrales avec stockage d’énergie en exploitation et 
développe un portefeuille de projets de plus de 1,5 
GW. Elle se développe aussi dans le domaine de la 
production d’hydrogène renouvelable. Spécialiste 
des zones insulaires depuis 2009, Corsica Sole 
développe, construit, finance, exploite ses propres 
projets, en France et dans l’Europe entière. Corsica 
Sole déploie son savoir-faire pour apporter par les 
énergies renouvelables et l’innovation technologique 
une réponse pertinente à la transition énergétique 
pour la lutte contre le changement climatique.";"ALCHYMISTE renforce l’autonomie énergétique 
des réseaux électriques isolés grâce à une boucle 
inertielle power-to-power. 
Cette 
technologie 
novatrice 
repose 
sur 
la 
conversion en hydrogène de l’énergie excédentaire 
provenant des sources d’énergie renouvelable non 
synchronisées. Cet hydrogène est ensuite intégré 
au système pour renforcer la stabilité des réseaux 
électriques isolés et l’autonomie du territoire. 
L’objectif principal d’ALCHYMISTE est de tirer 
parti de l’énergie excédentaire de différentes 
sources d’énergie renouvelable pour produire 
de l’hydrogène localement. Cet hydrogène est 
utilisé comme carburant supplémentaire dans les 
centrales électriques thermiques, en complément 
des agrocarburants. Grâce à une technologie 
innovante appelée boucle inertielle power-to-
power, ALCHYMISTE contribue à réaliser des 
scénarios où 100% de l’énergie provient de sources 
renouvelables dans les territoires isolés. Cela favorise 
l’indépendance énergétique, réduit les émissions 
de gaz à effet de serre et soutient les emplois 
locaux. Le projet consiste à démontrer la viabilité 
technique, économique et environnementale de 
cette approche par le biais d’une étude théorique 
suivie d’une expérimentation à petite échelle, afin 
de définir une stratégie à long terme pour son 
intégration dans le système électrique."
idee services;megawave;énergies, ressources et milieux naturels;24;11;78 | ÎLE DE FRANCE;1 061 782€;460 000€;2023 - 2025;"IDEE Services développe un 
prototypage et un test en 
bassin d’essai d’un cluster de 
3 machines houlomotrices 
de production électrique à 
l’échelle 1/10e.
IDEE Services est un bureau d’étude et de 
prototypage avec une expérience de plus de 30 ans en 
conception et industrialisation d’ensemble et sous-
ensemble technologiques destinés notamment au 
véhicules spéciaux, véhicules électriques, nouvelles 
mobilités et énergies renouvelables. Parallèlement, 
IDEE Services agit comme porteur indépendant de 
projets technologiques de rupture.";"Le projet consiste à démontrer, par le test en bassin 
de 3 prototypes à l’échelle 1/10e, la faisabilité, le 
comportement et le productible d’un système de 
machines houlomotrices de grandes dimensions 
destinées à la production électrique de masse.
La validation de ces critères doit permettre de 
rassurer industriels et énergéticiens quant à 
l’intérêt d’investir dans cette nouvelle technologie. 
L’objectif ultime étant de fédérer ces acteurs 
autour d’un projet massif de déploiement et mise 
en production en mer à l’échelle 1 de ce système. 
A terme, MEGAWAVE moissonnera l’énergie des 
vagues au large des littoraux de nombreux pays 
dans le monde."
pili;biopigments;énergies, ressources et milieux naturels;21;11;31 | OCCITANIE;4 652 700€;1 999 215€;2023 - 2026;"Pili 
développe 
des 
couleurs 
écologiques 
issues 
de 
biomasse 
française 
non-alimentaire 
pour 
décarboner l’industrie européenne 
et réduire la dépendance au pétrole.
Créée en 2015 avec la volonté 
d’apporter une alternative écologique 
aux colorants et pigments fossiles très polluants, 
PILI a pour mission de décarboner l’industrie de la 
couleur qui est responsable de l’émission de plus 
de 200 millions de tonnes de CO2 chaque année, 
soit l’équivalent de 5% des émissions européennes.";"L’objectif du projet i-Nov Biopigments est de 
développer une trichromie pigmentaire de haute 
performance à partir de molécules biosourcées 
et à destination des industries des peintures, des 
encres et des polymères.
Cette trichromie pigmentaire répond aux attentes 
du marché en apportant une solution de coloration 
permettant aux clients de PILI de décarboner 
leurs produits et de diminuer leur dépendance 
au pétrole. Elle offre des hautes performances en 
termes de tenue de la couleur et de résistance 
(chaleur, UV) et sera produite en Europe, limitant 
ainsi la dépendance aux fournisseurs asiatiques qui 
sont en position oligopolistique."
treewater sas;electrotate;énergies, ressources et milieux naturels;22;11;69 | AUVERGNE RHÔNE ALPES;1 326 983€;544 290€;2023 - 2026;"Electrotate développe un procédé 
d’électro-oxydation innovant pour 
le traitement et le recyclage des 
effluents industriels.
Depuis 2017, Treewater développe 
et fabrique des procédés d’oxydation avancée 
innovants pour le traitement et de recyclage des 
effluents industriels. Tous les projets de l’entreprise 
reposent sur une démarche en trois étapes : Etude/
pilote/installation, qui permet d’optimiser les 
performances du procédé et d’en limiter les coûts. ";"Le projet Electrotate vise à accélérer la maturation 
d’une technologie de rupture d’électro-oxydation 
à travers la construction de 3 pilotes de laboratoire 
de différentes tailles (4 L à 1000L) et d’un prototype 
industriel implanté sur site. Cette technologie 
brevetée a été développée en collaboration avec 
le CNRS. Le procédé Electrotate a pour principaux 
objectifs de recycler à minima 80% des effluents 
traités sans produits chimiques et en limitant 
drastiquement la consommation énergétique. Il 
permet la dégradation de polluants réfractaires et 
s’inscrit comme une alternative à l’incinération "
watura;tia;énergies, ressources et milieux naturels;26;11;92 | ÎLE DE FRANCE;1 167 718€;510 397€;2023 - 2025;"TIA est un agent pédagogique 
basé 
sur 
un 
modèle 
d’intelligence 
artificielle 
spécialisé dans les métiers de 
l’eau pour aider à résoudre 
des problèmes techniques en instantané 
Watura est une PME spécialisée dans la formation 
technique aux métiers de l’eau. Depuis 2018, elle 
a développé sa propre plateforme de formation 
digitale permettant à plus de 6 000 apprenants 
de se former sur des thématiques techniques 
liées à l’eau et l’assainissement, en France et à 
l’international. ";"TIA 
est 
un 
agent 
pédagogique 
basé 
sur 
l’intelligence artificielle. Cet outil permet d’obtenir 
instantanément des réponses concrètes à des 
problématiques d’exploitation dans le domaine 
de l’eau : gestion de la ressource, micropolluants, 
réglementation, etc. Contrairement aux forums 
spécialisés ou aux formations en présentiel, TIA 
offre des réponses rapides et étayées, en croisant 
un grand nombre de données tels que des cas 
d’études ou des supports pédagogiques. 
TIA s’adresse aux exploitants publics et privés. Le 
projet a pour ambition de développer un savoir-
faire unique en matière de spécialisation de modèle 
d’IA générative afin de l’appliquer dans d’autres 
secteurs techniques (énergies, déchets, etc.). "
youwol;ywg;énergies, ressources et milieux naturels;27;11;34 | OCCITANIE;1 012 004€;455 401€;2023 - 2025;"YouWol 
fournit 
un 
accélérateur 
d’innovation 
en 
géosciences 
sous 
la 
forme d’un espace de travail 
en ligne avec outils pour une transition énergétique 
efficiente.
YouWol est une entreprise internationale de 
type SAAS (software as a service) qui développe 
des 
solutions 
numériques 
en 
ligne 
et 
des 
services associés pour les ingénieurs, chercheurs, 
enseignants et étudiants dans le domaine des 
géosciences.";"Son initiative aspire à jouer un rôle actif dans la 
transition énergétique et écologique en optimisant 
et en accélérant la recherche, le développement 
et le prototypage de solutions numériques dans le 
domaine des géosciences. 
Le projet se focalise sur la conception et la mise 
à disposition d’un espace de travail collaboratif 
en ligne, accompagné d’outils numériques, afin 
de faciliter la création, le partage, la combinaison 
et l’exploitation de ressources numériques et 
d’applications techniques.
Youwol s’engage ainsi à fournir une réponse efficace 
aux défis climatiques qui impactent les sociétés, en 
contribuant activement à la recherche de solutions 
novatrices."
aleph-networks;aleph mercure;numérique;31;11;69 | AUVERGNE RHÔNE ALPES;1 356 200€;610 288€;2023 - 2026;"Aleph souhaite rendre accessible 
aux TPE/PME la maîtrise de leurs 
risques cyber, grâce à une solution 
très 
simple 
d’utilisation, 
alliant 
l’intelligence 
artificielle 
à 
une 
technologie éprouvée par l’État, au 
service des petites entreprises.
ALEPH édite des solutions de Cyber Sûreté et 
d’Intelligence Stratégique pour garantir l’intégrité 
des individus, des entreprises et des États. Aleph 
propose deux solutions d’analyse des données 
OSINT sur les Clear, Deep & Dark Webs et d’EASM 
– External Attack Surface Management.";"Aleph-Mercure 
sera 
une 
solution 
SaaS 
qui 
permettra de couvrir l’ensemble des risques cyber 
et DNS de manière simple et efficace pour les 
TPE/PME européennes. Mercure sera développée 
à partir des technologies propriétaires d’Aleph et 
permettra d’identifier les fuites de données dans 
le Dark Web, de contrôler la surface d’exposition 
cyber dans le Clear Web, de déduire les risques 
avérés et de faciliter les actions de remédiation."
astran;astran;numérique;29;11;;;;;;
bloom;r0-n;numérique;38;11;75 | ÎLE DE FRANCE;4 706 662€;1 909 252€;2023 - 2026;"Le Projet R0-N propose une 
offre inédite de collecte de 
données, 
de 
détection 
et 
d’évaluation de la propagation 
des 
risques, 
d’alerting 
en 
temps réel pour tous les réseaux sociaux. Il s’agit de 
créer premier indicateur mondial de viralité sociale, 
le R0 numérique 
Bloom est une plateforme d’anticipation stratégique 
qui permet aux marques et institutions de détecter 
tendances et signaux faibles, d’anticiper les crises et 
de décrypter les communautés sur les réseaux sociaux. 
Ses fondateurs sont Bruno Breton, expert des médias 
et réseaux sociaux, et Alexander Polonsky, docteur 
en mathématiques appliquées et neurosciences.";"Le Projet R0-N contribuera à détecter au plus tôt, 
toutes les menaces en temps réel, venant des réseaux 
sociaux. S’appuyant sur la collecte des données 
publiques de tous les réseaux, cet indicateur de 
viralité universel dénommé « R0-N », permettra 
aux entreprises et aux institutions d’être alertées 
en temps réel, de la propagation de contenus à 
risque élevé sur les réseaux sociaux qui peuvent 
nuire aux intérêts démocratiques et souverains ou 
à la réputation. Les informations fausses, les propos 
radicaux, seront analysés automatiquement par 
IA générative.  Cette innovation vise à contrer les 
répercussions considérables des cybercrises."
digdash;data enlightenment;numérique;33;11;13 | PROVENCE ALPES CÔTE D’AZUR;2 718 858€;1 223 484€;2023 - 2026;"Digdash 
permet 
aux 
utilisateurs 
métiers 
de 
générer des tableaux de 
bord depuis une interface 
conversationnelle (IA) et de tirer profit de l’open 
data sans la moindre connaissance technique ou 
informatique.
DigDash, expert de la Business Intelligence, est un 
éditeur français d’une solution de tableaux de bord 
dynamiques ; une plateforme nouvelle génération 
qui permet à ses utilisateurs d’explorer, visualiser 
et communiquer facilement sur leurs données. Ce 
logiciel s’adresse à toutes tailles d’entreprises, tous 
secteurs et tous métiers.";"Dans une volonté de poursuivre la démocratisation 
de l’usage de la BI, le projet Data Enlightenment 
proposera une fonctionnalité permettant de 
générer des tableaux de bord depuis une interface 
conversationnelle. 
Connectée aux sources de données de l’entreprise, 
des utilisateurs sans connaissances techniques 
pourront converser avec une IA capable de 
reconnaître 
automatiquement 
les 
données 
concernées et de répondre sous forme de 
visualisations graphiques.
L’outil sera également capable d’accéder à des 
données ouvertes (open data) et à jour, afin de les 
recroiser avec les données existantes de l’entreprise, 
toujours de manière simple et non technique."
digital4better;data4impact;numérique;32;11;35 | BRETAGNE;2 186 684€;984 004€;2023 - 2026;"Data4Impact va permettre 
d’aider à réduire les impacts 
environnementaux 
liés 
à 
la gestion de la data d’une 
entreprise, de la collecte à 
l’usage, en passant par le calcul et le stockage.
Digital4better est une entreprise experte des 
impacts 
environnementaux 
et 
sociaux 
du 
numérique. Au-delà de ses activités de conseil 
et de développement, Digital4better a conçu 
la plateforme Saas fruggr. Outil de pilotage 
dynamique de la performance numérique, l’outil 
permet une mesure automatisée de l’empreinte 
environnementale 
et 
sociale 
de 
l’IT 
d’une 
entreprise.";"Data4Impact se focalise sur l’évaluation et la 
réduction des impacts environnementaux liés 
à l’ensemble du cycle de vie des données des 
entreprises. 
Une 
gouvernance 
des 
données 
durable est un sujet majeur dans le contexte actuel 
du secteur du numérique (3.8% des émissions 
mondiales de GES) et de l’engouement pour les big 
data au sein des entreprises (180 Zo stockés d’ici 
2025). Le projet Data4Impact vise à développer 
un module complémentaire à fruggr, intégrant 
une méthodologie innovante d’évaluation des 
impacts environnementaux des données et des 
recommandations personnalisées pour une gestion 
durable et sobre des données de la DSI."
embodme;superiris;numérique;41;11;75 | ÎLE DE FRANCE;2 594 840€;688 508€;2023 - 2026;"SuperIRIS est le premier 
écran interactif fonctionnant 
au contact et sans contact. 
Permettant une interaction 
plus naturelle, accessible et hygiénique, cet écran 
interactif est conçu pour remplacer les écrans 
tactiles traditionnels dans les lieux publics et les 
industries du numérique.
Embodme développe des capteurs de vision en 
champ proche pour les interfaces homme-machine. 
La startup parisienne sort son premier produit en 
2020: un contrôleur musical innovant utilisé par des 
artistes de renoms tels que Jean-Michel Jarre et le 
groupe Coldplay avant de se lancer sur le marché de 
l’affichage interactif. ";"Le projet SuperIRIS est une opportunité de 
conquérir le marché en plein essor des bornes 
interactives en se plaçant ainsi à la pointe de 
l’innovation. L’immersivité de l’interaction sans 
contact se place au cœur de la transformation 
des industries culturelles et créatives, du retail, de 
l’événementiel mais aussi de l’industrie 5.0 et du 
secteur médical. 
Enfin, le projet porte également une ambition 
de réduction de l’empreinte environnementale 
du numérique (éco-conception, relocalisation, 
allongement de la durée de vie des écrans)."
